"Year","Serotype 1","Serotype 2","Serotype 3","Serotype 4"
651,4127060.67731466,1318.65199025155,177190.733252832,4247.64551960418
652,3391375.88670925,307.995611785269,37682.1624263122,5155.44240894258
653,828375.533342597,114.317299490416,11822.1250459608,9882.84233124111
654,160654.028377071,84.624363236696,7160.69354571537,36045.9171568068
655,37149.0900491554,99.1039256339738,6716.03504628731,193984.702711391
656,10796.5916355644,156.203442749071,8345.16111516785,1212735.92267959
657,3325.94883205683,250.943710003995,10535.7687211722,4457313.24795088
658,932.272948345585,350.870683228341,11564.9535703775,3072184.63172033
659,473.333456301487,887.870299305808,22644.324086397,677088.163182591
660,485.878810432854,4350.809884555,84798.9426505527,126019.666750211
661,763.616612895371,30851.7833357557,447420.49842752,28100.5518148397
662,1472.57946193043,243627.536099113,2260236.4022613,7477.3900388392
663,2459.20096505128,1343500.84721264,4180234.45676627,1891.70894853744
664,3674.16867287375,3816487.74868019,1420685.54125027,471.710163730296
665,7287.39975778879,3689742.09345976,213334.2138192,171.57481021416
666,25942.8966093885,1146233.51583025,40432.6659422015,117.52544661269
667,178960.252948704,256917.367998564,14736.425115534,168.387710411692
668,1577035.96111403,62173.3136198394,8151.00739901882,366.484524215474
669,6217749.54933333,13914.9389977998,4368.01317564153,716.877878251309
670,2524228.87190506,2455.76706826623,1841.64273139067,1073.56115137062
671,362471.153391471,968.976152536014,1758.03034220205,3674.66795988849
672,51365.3020360485,758.76357928957,3256.81951785721,23417.1270497356
673,9292.47996683062,887.629910546437,8814.96155239014,206348.257704133
674,2119.79960430135,1326.4910743623,29380.7230045099,1914128.17341254
675,453.302289492415,1669.44440502018,76059.4689122503,6439297.76793453
676,86.2263330445609,1796.7293212207,159862.950358259,2082728.19142871
677,41.5535512600732,4743.99855484771,749416.368254835,268147.018738716
678,32.7072964681549,18260.0634086703,3595456.30425392,31716.8918923937
679,23.5110939020085,57424.2376149724,4286857.64161799,3282.11768527965
680,23.5406175352626,238177.04919534,1081958.10017154,460.974365998104
681,46.9057223888248,1626806.98111387,175637.542147562,133.791562775065
682,98.1722493752923,5782264.69437692,24849.059873234,46.472454243707
683,169.893508583299,2571521.76400824,2880.83972849814,14.0950408840597
684,634.190973383289,415083.17378062,696.604808693221,9.26861851888927
685,4347.63592900429,65094.7382317226,335.317340865403,12.0925962081231
686,41754.2349525921,13020.4947819295,247.006923318173,24.0343730853894
687,492802.46308024,3435.12327744931,252.215596389927,65.5774973673169
688,4422570.89584029,1050.26463199886,290.688256039213,193.555742983346
689,5813233.79191335,240.286054258147,228.838927690005,362.164900379806
690,916390.427018706,80.7900207246705,264.603099129048,991.382024718214
691,92090.1008510485,75.7486259619544,820.322439329105,6934.52789175146
692,11154.2514333944,121.195343416943,4167.42229457253,74522.1604020011
693,1746.94926248119,265.904718352572,27743.8597853895,953026.875610776
694,290.363920734689,542.604293961067,152892.642412728,6433845.86599768
695,35.596269314866,704.275046540401,469397.553104201,3606411.42460037
696,9.35444976549496,1853.43025964409,2298352.30644979,443662.177859434
697,3.80797463167707,6023.99572053961,5859346.79069062,35013.7559588034
698,1.63589072076306,19076.2829084791,1963608.49749267,2464.33843899846
699,1.65017147235704,132476.896695739,295158.146255984,384.290812164963
700,2.9334405854822,1336056.43767038,45083.923488244,108.517098424193
701,4.98231295365292,6582763.69444702,6636.29753930841,32.8565726087359
702,5.83399203513315,2909913.93970559,699.868645289446,7.25559296607116
703,15.7328190850613,392067.94936875,160.512167834976,3.60431059002849
704,83.559986492189,50368.8442632815,77.7532388713947,3.77259407327554
705,639.570097678842,8305.00054839325,58.5417695168086,6.12399927191819
706,6403.98966442383,1835.87461566017,62.6737537077663,14.0735294796619
707,80453.997488349,548.849721926334,92.9328968899517,44.5430477628957
708,1129608.57409977,216.479266644218,180.85076435303,182.353991926384
709,7263790.87118111,84.633661992007,312.872737943177,619.432683482389
710,3156196.74052505,24.5716482164011,369.842756764705,1363.26539124775
711,362859.186550231,20.5997570872444,1234.74854363287,8188.32011442155
712,38743.8820061604,38.9236401477338,8591.64354201591,96607.3933404526
713,5096.97811301619,105.876676643717,79081.6984677409,1375903.83965203
714,649.233742417343,232.377024891722,488987.628188169,7658633.94688213
715,58.5275032041753,311.421709142712,1456323.29261732,2421407.01319916
716,12.1813979163219,843.668536040631,4768080.06867326,211842.241516713
717,3.323146839326,2482.6015841731,3507336.90384976,12895.1403733218
718,1.65582315233175,12839.01220625,743444.91150891,1242.05764942508
719,1.71539791622672,123229.174894308,127559.725250276,243.216764507823
720,2.68132431969963,1464110.02274538,25547.3453369268,72.8689921397792
721,3.69867481664249,7292877.72525721,4780.99114243234,21.5256333067077
722,3.41080734683052,2602178.98128471,613.689751769128,4.43572870497741
723,8.11719380848066,301785.349215246,192.442146048784,2.30116376701352
724,38.1018913050594,35120.8249187665,125.485556544267,2.49513467291521
725,258.529329533333,5294.95901158304,125.028585375964,4.15286580671321
726,2315.71284971891,1071.527015097,175.678890865972,9.7630815594232
727,26384.6353593537,293.840127385837,340.221767055118,31.7189986925352
728,362528.699388396,108.78633830098,884.344521576422,138.046904312714
729,4040007.52868259,48.248872360749,2557.22066959347,646.975655970007
730,6858544.1466646,16.1768616142743,4681.35477502061,1798.02619776702
731,996571.281454086,7.92937129021465,12041.6381772334,6881.45078339141
732,82845.0255244475,12.6734880466345,90601.0554059626,74577.90344646
733,7910.44751941468,32.4926705458981,929864.384782411,1069822.62808077
734,679.457672273511,59.7680699381076,4089373.41495856,5907613.55457995
735,34.4141845441352,53.3625104459283,2353912.47570473,2618763.64249035
736,4.68886943586995,127.181707244915,927401.454975432,537371.721801426
737,1.64485362588519,692.369297714639,418861.356264708,131474.503907181
738,1.00447453995028,5873.7408056302,221704.586271564,43668.631757648
739,0.923761436708958,66969.9330481539,141120.263400334,19549.668765536
740,1.18006724914295,899509.2026486,107737.019533226,11415.0453899557
741,1.4858429980857,6569030.78828739,75580.2714741172,6608.15459192353
742,1.16711029180888,3895788.70863214,32261.7251385616,2466.28255625215
743,2.03960538388264,496014.395545718,28758.7713684677,1979.93478013332
744,8.06786164073995,53660.1313827241,56274.574180369,3589.2912344051
745,48.0458953392037,7283.47747149678,161806.12937132,9899.65446125557
746,369.145792229286,1288.05912808472,570938.351311706,36098.0828035465
747,3157.26001997248,283.29939394704,1860679.83896923,152520.460942942
748,24614.4139311155,69.4162965658132,2986289.033288,596512.665313224
749,186086.909019896,20.4402356391322,1539704.38666005,1942609.73167906
750,1369176.99992992,8.23113057698143,377411.73397678,3580779.50591411
